Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,caio_M,caio_P,caio_N,caio_WKND,caio_totH,caio_avgH,genoveffa_M,genoveffa_P,genoveffa_N,genoveffa_WKND,genoveffa_totH,genoveffa_avgH,pallo_M,pallo_P,pallo_N,pallo_WKND,pallo_totH,pallo_avgH,pinco_M,pinco_P,pinco_N,pinco_WKND,pinco_totH,pinco_avgH,sempronio_M,sempronio_P,sempronio_N,sempronio_WKND,sempronio_totH,sempronio_avgH,tizio_M,tizio_P,tizio_N,tizio_WKND,tizio_totH,tizio_avgH
46,28,6,9,1,1,30,11.0,*,,,,*,*,,,,14,4,1,1,132,30.5,13,5,0,2,132,30.5,8,2,2,1,144,33.3,10,2,1,0,126,29.1,14,3,1,2,150,34.6,15,3,0,2,156,36.0
47,29,6,9,1,1,30,11.0,*,,,,*,*,,,,15,4,0,1,138,31.9,12,5,1,1,126,29.1,8,2,1,2,144,33.3,10,3,1,0,132,30.5,17,2,0,2,150,34.6,13,3,2,2,156,36.0
48,33,6,9,1,1,30,11.0,*,,,,*,*,,,,15,4,0,2,138,31.9,16,2,1,1,156,36.0,9,1,0,0,126,29.1,8,4,1,1,126,29.1,14,4,1,2,156,36.0,12,4,2,2,144,33.3
49,15,6,9,1,1,30,12.0,*,,,,*,*,,,,14,4,1,1,132,30.5,15,3,1,1,132,30.5,9,1,0,2,150,34.6,9,3,1,0,126,29.1,14,5,0,2,138,31.9,11,3,2,2,156,36.0
50,74,6,9,1,1,30,12.0,*,,,,*,*,,,,14,5,0,1,126,29.1,16,2,0,2,156,36.0,9,1,0,1,138,31.9,8,4,2,0,126,29.1,12,4,2,2,144,33.3,14,3,1,2,150,34.6
51,78,6,9,1,1,30,14.0,*,,,,*,*,,,,13,5,1,1,132,30.5,13,3,1,2,156,36.0,9,1,0,2,138,31.9,11,2,0,0,132,30.5,14,5,0,1,126,29.1,13,3,3,2,156,36.0
52,49,6,9,1,1,36,10.0,*,,,,*,*,,,,14,2,2,2,156,36.0,12,4,2,1,132,30.5,8,1,0,2,156,36.0,10,3,0,1,132,30.5,14,4,1,1,132,30.5,13,5,0,1,120,27.7
53,73,6,9,1,1,36,10.0,*,,,,*,*,,,,15,3,0,2,156,36.0,12,4,2,0,120,27.7,8,2,1,2,156,36.0,10,3,0,1,120,27.7,16,3,0,2,138,31.9,13,4,2,1,150,34.6
54,13,6,9,1,1,36,11.0,*,,,,*,*,,,,15,4,0,1,138,31.9,14,3,1,1,150,34.6,8,1,1,2,156,36.0,10,3,1,0,120,27.7,15,4,0,2,138,31.9,12,4,2,2,144,33.3
55,40,6,9,1,1,36,11.0,*,,,,*,*,,,,13,3,2,2,144,33.3,12,6,0,1,120,27.7,9,1,0,2,150,34.6,9,3,1,1,126,29.1,15,3,1,1,144,33.3,15,3,1,1,156,36.0
56,41,6,9,1,1,36,11.0,*,,,,*,*,,,,15,3,1,2,144,33.3,14,4,1,1,144,33.3,9,2,0,2,138,31.9,8,3,2,0,120,27.7,14,2,1,2,156,36.0,13,5,0,1,132,30.5
57,62,6,9,1,1,36,11.0,*,,,,*,*,,,,15,3,1,2,156,36.0,11,5,2,0,120,27.7,8,2,1,1,150,34.6,10,3,0,1,132,30.5,16,3,0,2,150,34.6,14,3,1,2,138,31.9
58,88,6,9,1,1,36,11.0,*,,,,*,*,,,,16,3,1,1,150,34.6,10,6,2,1,132,30.5,8,1,1,1,132,30.5,9,4,0,1,120,27.7,15,2,1,2,150,34.6,15,3,0,2,156,36.0
59,93,6,9,1,1,36,11.0,*,,,,*,*,,,,15,2,1,2,138,31.9,14,3,1,1,138,31.9,7,3,1,1,144,33.3,10,3,0,0,120,27.7,13,3,2,2,156,36.0,13,5,0,2,132,30.5
60,47,6,9,1,1,36,12.0,*,,,,*,*,,,,13,3,2,2,156,36.0,14,3,1,0,138,31.9,9,1,0,2,138,31.9,10,3,0,0,120,27.7,14,5,0,2,138,31.9,13,4,2,2,150,34.6
61,48,6,9,1,1,36,12.0,*,,,,*,*,,,,13,4,1,1,126,29.1,13,4,1,0,126,29.1,9,2,0,2,138,31.9,11,1,1,1,162,37.4,15,3,2,2,156,36.0,13,5,0,2,132,30.5
