Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,1_M,1_P,1_N,1_WKND,1_totH,1_avgH,2_M,2_P,2_N,2_WKND,2_totH,2_avgH,3_M,3_P,3_N,3_WKND,3_totH,3_avgH,4_M,4_P,4_N,4_WKND,4_totH,4_avgH,5_M,5_P,5_N,5_WKND,5_totH,5_avgH,6_M,6_P,6_N,6_WKND,6_totH,6_avgH
79,78,6,9,2,2,18,11.0,*,,,,*,*,,,,10,2,1,1,138,31.9,9,1,0,2,138,31.9,14,4,0,1,132,30.5,12,4,2,2,144,33.3,15,4,0,2,150,34.6,13,4,2,0,138,31.9
80,31,6,9,2,2,24,14.0,*,,,,*,*,,,,10,2,1,0,126,29.1,9,1,0,2,150,34.6,13,5,0,2,132,30.5,15,4,0,2,150,34.6,14,3,1,2,150,34.6,12,4,3,0,132,30.5
81,69,6,9,2,2,30,9.0,*,,,,*,*,,,,9,4,0,1,120,27.7,8,1,2,1,144,33.3,15,3,0,2,144,33.3,12,4,2,1,132,30.5,15,4,0,2,150,34.6,14,3,1,1,150,34.6
82,41,6,9,2,2,30,10.0,*,,,,*,*,,,,10,3,0,1,132,30.5,9,2,0,2,150,34.6,14,3,1,2,150,34.6,16,3,0,2,150,34.6,13,4,2,1,138,31.9,12,4,2,0,120,27.7
83,91,6,9,2,2,30,10.0,*,,,,*,*,,,,9,3,1,0,126,29.1,8,2,0,2,156,36.0,14,3,1,1,138,31.9,13,4,2,2,150,34.6,16,3,0,2,138,31.9,13,4,1,1,126,29.1
84,29,6,9,2,2,30,11.0,*,,,,*,*,,,,10,2,2,0,126,29.1,8,2,1,2,144,33.3,14,4,0,2,144,33.3,12,5,1,1,126,29.1,15,4,0,1,138,31.9,14,2,1,2,156,36.0
85,74,6,9,2,2,30,11.0,*,,,,*,*,,,,9,3,2,0,126,29.1,6,2,0,2,156,36.0,14,3,1,2,138,31.9,12,5,1,1,126,29.1,16,3,0,2,150,34.6,14,3,1,1,126,29.1
86,21,6,9,2,2,30,12.0,*,,,,*,*,,,,8,4,2,0,126,29.1,8,1,1,1,144,33.3,14,4,0,2,132,30.5,14,5,0,2,138,31.9,14,2,2,1,144,33.3,15,3,0,2,156,36.0
87,96,6,9,2,2,30,12.0,*,,,,*,*,,,,10,1,2,1,156,36.0,9,1,0,2,150,34.6,15,3,0,2,144,33.3,14,5,0,2,138,31.9,12,5,2,0,126,29.1,13,4,1,1,126,29.1
88,39,6,9,2,2,36,10.0,*,,,,*,*,,,,8,3,2,0,120,27.7,9,2,0,2,150,34.6,14,3,1,2,138,31.9,15,4,0,1,126,29.1,11,3,2,2,156,36.0,14,4,0,1,132,30.5
89,16,6,9,2,2,36,11.0,*,,,,*,*,,,,10,1,2,0,132,30.5,9,2,0,2,150,34.6,14,4,0,2,144,33.3,15,4,0,2,150,34.6,13,4,2,2,150,34.6,13,4,1,0,114,26.3
90,49,6,9,2,2,36,11.0,*,,,,*,*,,,,10,3,0,0,120,27.7,9,2,0,2,138,31.9,16,2,0,1,156,36.0,14,4,1,2,144,33.3,12,5,2,1,138,31.9,13,3,2,2,144,33.3
91,86,6,9,2,2,36,11.0,*,,,,*,*,,,,9,4,0,1,120,27.7,9,1,0,0,126,29.1,15,3,0,2,156,36.0,14,4,2,2,156,36.0,13,4,1,1,138,31.9,13,3,2,2,144,33.3
92,25,6,9,2,2,36,12.0,*,,,,*,*,,,,10,3,1,0,120,27.7,9,1,1,1,138,31.9,14,2,0,2,156,36.0,12,4,2,2,144,33.3,14,4,1,2,156,36.0,13,5,0,1,120,27.7
93,32,6,9,2,2,36,12.0,*,,,,*,*,,,,8,3,2,0,120,27.7,8,1,1,2,144,33.3,15,3,0,2,144,33.3,12,5,1,1,126,29.1,14,4,1,2,156,36.0,15,3,0,1,144,33.3
94,33,6,9,2,2,36,12.0,*,,,,*,*,,,,10,3,0,1,120,27.7,6,1,1,2,156,36.0,15,3,0,2,144,33.3,13,3,2,0,120,27.7,13,5,1,2,156,36.0,13,4,1,1,126,29.1
95,38,6,9,2,2,36,12.0,*,,,,*,*,,,,9,4,0,1,120,27.7,9,1,0,1,150,34.6,14,3,1,1,138,31.9,14,2,3,2,156,36.0,15,4,0,2,150,34.6,12,5,1,1,126,29.1
96,84,6,9,2,2,36,13.0,*,,,,*,*,,,,10,3,0,0,120,27.7,9,1,0,2,138,31.9,14,4,0,2,132,30.5,15,4,0,2,150,34.6,12,4,3,1,156,36.0,13,3,2,1,144,33.3
97,93,6,9,2,2,36,13.0,*,,,,*,*,,,,11,2,0,0,120,27.7,8,2,0,2,156,36.0,14,3,1,2,150,34.6,15,4,0,1,126,29.1,11,5,3,1,144,33.3,14,3,1,2,138,31.9
98,9,6,9,2,2,42,12.0,*,,,,*,*,,,,8,4,1,0,114,26.3,9,1,0,1,126,29.1,13,5,0,2,132,30.5,13,3,1,2,156,36.0,14,4,2,1,144,33.3,14,2,1,2,156,36.0
99,48,6,9,2,2,42,12.0,*,,,,*,*,,,,12,1,0,1,132,30.5,9,1,0,1,138,31.9,13,4,1,2,150,34.6,12,4,2,2,144,33.3,14,4,1,2,156,36.0,12,5,1,0,114,26.3
100,40,6,9,2,2,42,13.0,*,,,,*,*,,,,9,2,3,0,132,30.5,9,2,0,2,138,31.9,13,5,0,2,132,30.5,15,3,0,2,156,36.0,13,3,1,2,156,36.0,13,4,1,0,114,26.3
